"""""","""ccode""","""date""","""raceref""","""course""","""raceclass""","""n_dist""","""going""","""horseno""","""drawing""","""jockey""","""wt_carried""","""netadj""","""blinker""","""trainer""","""rating""","""odd_fn""","""weights""","""runners""","""latest_sr""","""purse""","""ctry""","""color_e""","""sex""","""foaldate""","""rank"""
"""8356""",698.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,5.0,11.0,1.0,128.0,-2.0,13.0,11.0,35.0,560.0,1049.0,12.0,60.0,550000.0,6.0,2.0,4.0,40240.0,11.0
"""8357""",332.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,4.0,2.0,35.0,130.0,0.0,42.0,22.0,35.0,32.0,1157.0,12.0,107.0,550000.0,2.0,2.0,1.0,39346.0,2.0
"""8358""",62.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,2.0,10.0,3.0,133.0,0.0,26.0,11.0,38.0,47.0,1059.0,12.0,98.0,550000.0,1.0,2.0,1.0,38274.0,8.0
"""8359""",585.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,9.0,7.0,8.0,113.0,-2.0,427.0,11.0,20.0,320.0,1137.0,12.0,94.0,550000.0,3.0,2.0,1.0,39170.0,7.0
"""8360""",131.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,11.0,6.0,13.0,108.0,-5.0,3.0,11.0,15.0,310.0,1227.0,12.0,103.0,550000.0,2.0,2.0,1.0,39007.0,6.0
"""8361""",679.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,1.0,9.0,5.0,133.0,0.0,340.0,3.0,38.0,46.0,1099.0,12.0,108.0,550000.0,3.0,2.0,1.0,39199.0,1.0
"""8362""",481.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,7.0,4.0,19.0,118.0,-2.0,48.0,15.0,25.0,120.0,1068.0,12.0,95.0,550000.0,2.0,2.0,1.0,40072.0,9.0
"""8363""",539.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,8.0,5.0,7.0,111.0,-7.0,6.0,1.0,23.0,92.0,1056.0,12.0,100.0,550000.0,1.0,3.0,1.0,39411.0,5.0
"""8364""",928.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,3.0,8.0,6.0,130.0,-2.0,42.0,3.0,37.0,180.0,1196.0,12.0,89.0,550000.0,1.0,2.0,1.0,40424.0,10.0
"""8365""",887.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,10.0,3.0,4.0,113.0,0.0,1.0,12.0,17.0,200.0,1002.0,12.0,102.0,550000.0,2.0,8.0,8.0,40119.0,3.0
"""8366""",993.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,12.0,1.0,15.0,112.0,1.0,14.0,3.0,0.0,750.0,1181.0,12.0,0.0,550000.0,9.0,3.0,1.0,39734.0,12.0
"""8367""",124.0,41798.0,33684.0,8.0,5.0,1200.0,2.0,6.0,12.0,51.0,121.0,0.0,1.0,20.0,26.0,100.0,1079.0,12.0,100.0,550000.0,1.0,2.0,1.0,39337.0,4.0
"""8368""",265.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,4.0,2.0,16.0,129.0,0.0,31.0,19.0,36.0,70.0,1151.0,14.0,102.0,550000.0,1.0,2.0,1.0,39738.0,6.0
"""8369""",895.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,10.0,9.0,51.0,123.0,0.0,9.0,6.0,30.0,230.0,1207.0,14.0,104.0,550000.0,1.0,2.0,1.0,39740.0,4.0
"""8370""",15.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,8.0,13.0,19.0,122.0,-2.0,3.0,3.0,31.0,280.0,1061.0,14.0,100.0,550000.0,1.0,5.0,1.0,39697.0,3.0
"""8371""",716.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,14.0,6.0,15.0,112.0,1.0,7.0,17.0,15.0,640.0,1117.0,14.0,98.0,550000.0,3.0,3.0,1.0,39182.0,11.0
"""8372""",441.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,7.0,4.0,7.0,120.0,-7.0,9.0,14.0,34.0,210.0,1061.0,14.0,99.0,550000.0,2.0,2.0,3.0,40074.0,10.0
"""8373""",854.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,2.0,1.0,5.0,132.0,0.0,42.0,2.0,39.0,47.0,1076.0,14.0,99.0,550000.0,1.0,2.0,1.0,40111.0,8.0
"""8374""",1031.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,3.0,8.0,8.0,129.0,-2.0,208.0,13.0,38.0,360.0,1102.0,14.0,94.0,550000.0,1.0,2.0,1.0,39767.0,14.0
"""8375""",34.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,12.0,10.0,1.0,117.0,-2.0,3.0,1.0,26.0,490.0,1162.0,14.0,100.0,550000.0,1.0,2.0,1.0,39017.0,9.0
"""8376""",218.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,13.0,12.0,35.0,116.0,0.0,391.0,9.0,23.0,96.0,1167.0,14.0,104.0,550000.0,2.0,2.0,1.0,40047.0,2.0
"""8377""",350.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,1.0,3.0,6.0,131.0,-2.0,37.0,11.0,40.0,180.0,1100.0,14.0,101.0,550000.0,6.0,3.0,1.0,39187.0,12.0
"""8378""",549.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,11.0,14.0,12.0,119.0,0.0,18.0,12.0,26.0,240.0,1079.0,14.0,102.0,550000.0,2.0,2.0,1.0,40090.0,7.0
"""8379""",892.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,5.0,5.0,4.0,128.0,0.0,3.0,24.0,35.0,340.0,1157.0,14.0,102.0,550000.0,3.0,2.0,1.0,39183.0,4.0
"""8380""",731.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,6.0,11.0,9.0,128.0,0.0,7.0,22.0,35.0,99.0,1213.0,14.0,0.0,550000.0,1.0,2.0,3.0,40105.0,13.0
"""8381""",458.0,41798.0,33685.0,8.0,5.0,1400.0,2.0,9.0,7.0,3.0,124.0,0.0,1.0,21.0,31.0,29.0,1097.0,14.0,108.0,550000.0,2.0,1.0,1.0,40056.0,1.0
"""8382""",597.0,41798.0,33686.0,8.0,4.0,1200.0,2.0,13.0,12.0,6.0,117.0,-2.0,6.0,3.0,43.0,890.0,1103.0,14.0,98.0,725000.0,3.0,2.0,1.0,40218.0,7.0
"""8383""",764.0,41798.0,33686.0,8.0,4.0,1200.0,2.0,8.0,5.0,5.0,127.0,0.0,30.0,8.0,51.0,150.0,1051.0,14.0,0.0,725000.0,1.0,2.0,1.0,40125.0,14.0
