"""""","""ccode""","""date""","""raceref""","""course""","""raceclass""","""n_dist""","""going""","""horseno""","""drawing""","""jockey""","""wt_carried""","""netadj""","""blinker""","""trainer""","""rating""","""odd_fn""","""weights""","""runners""","""latest_sr""","""purse""","""ctry""","""color_e""","""sex""","""foaldate""",predict_result
"""14035""",1.0,42042.0,34373.0,3.0,5.0,1200.0,1.0,10.0,10.0,8.0,114.0,-2.0,1.0,1.0,23.0,430.0,1153.0,12.0,90.0,575000.0,1.0,1.0,1.0,38970.0,0.0
"""14036""",269.0,42042.0,34373.0,3.0,5.0,1200.0,1.0,7.0,2.0,4.0,122.0,0.0,9.0,19.0,29.0,110.0,1165.0,12.0,102.0,575000.0,1.0,2.0,3.0,39744.0,0.0
"""14037""",1196.0,42042.0,34373.0,3.0,5.0,1200.0,1.0,6.0,7.0,9.0,125.0,0.0,18.0,15.0,32.0,530.0,1110.0,12.0,78.0,575000.0,2.0,1.0,1.0,40420.0,0.0
"""14038""",590.0,42042.0,34373.0,3.0,5.0,1200.0,1.0,8.0,5.0,16.0,120.0,0.0,550.0,24.0,27.0,100.0,1076.0,12.0,105.0,575000.0,3.0,2.0,1.0,39494.0,1.0
"""14039""",895.0,42042.0,34373.0,3.0,5.0,1200.0,1.0,2.0,8.0,21.0,133.0,0.0,9.0,6.0,40.0,46.0,1210.0,12.0,109.0,575000.0,1.0,2.0,1.0,39740.0,1.0
"""14040""",821.0,42042.0,34373.0,3.0,5.0,1200.0,1.0,3.0,1.0,5.0,132.0,0.0,9.0,18.0,39.0,59.0,1095.0,12.0,85.0,575000.0,2.0,3.0,1.0,40055.0,0.0
"""14041""",695.0,42042.0,34373.0,3.0,5.0,1200.0,1.0,9.0,4.0,6.0,116.0,-2.0,1.0,5.0,25.0,35.0,1187.0,12.0,87.0,575000.0,2.0,3.0,3.0,40076.0,0.0
"""14042""",1083.0,42042.0,34373.0,3.0,5.0,1200.0,1.0,1.0,6.0,20.0,133.0,0.0,14.0,13.0,40.0,48.0,1050.0,12.0,108.0,575000.0,1.0,2.0,1.0,40413.0,1.0
"""14043""",897.0,42042.0,34373.0,3.0,5.0,1200.0,1.0,4.0,12.0,50.0,131.0,0.0,127.0,3.0,38.0,200.0,1104.0,12.0,0.0,575000.0,2.0,2.0,1.0,39333.0,0.0
"""14044""",902.0,42042.0,34373.0,12.0,5.0,0.0,1.0,5.0,3.0,23.0,130.0,0.0,9.0,9.0,37.0,280.0,1103.0,5.0,0.0,575000.0,1.0,2.0,1.0,40100.0,0.0
"""14045""",453.0,42042.0,34373.0,3.0,5.0,1200.0,1.0,12.0,9.0,1.0,111.0,-2.0,1.0,12.0,13.0,360.0,1047.0,12.0,94.0,575000.0,1.0,2.0,1.0,39355.0,0.0
